"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00039872733008,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",1116957495009.98,1.11696e+12,1116950405376.29,1002,0.95,1.11674e+12,1.11716e+12,NA,NA,NA,NA,NA,NA,NA
"beta[1]",1890.50876367265,2499.675,15293.2965332695,1002,0.95,-100850,99145.1,NA,NA,NA,NA,NA,NA,NA
"beta[2]",103838.897167166,118707.5,197957.906219607,1002,0.95,-827457,876594,NA,NA,NA,NA,NA,NA,NA
"beta[3]",565158.788063872,840491.5,2092225.43051433,910.9,0.95,-9076440,10618900,NA,NA,NA,NA,NA,NA,NA
"beta[4]",127130.79682525,129875.5,158173.266447154,1002,0.95,-201718,425817,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-1758.40523153693,-2183.44,-4594.29141047393,1002,0.95,-100438,105084,NA,NA,NA,NA,NA,NA,NA
"sigma",344389122754.491,3.43984e+11,342761572700.63,478.3,0.95,3.27353e+11,3.61264e+11,NA,NA,NA,NA,NA,NA,NA
"zbeta0",2180182.86427146,2180180,2180168.92966124,1002,0.95,2179820,2180580,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",2.08445060299401,2.7561,16.8624051706026,1002,0.95,-111.195,109.316,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.181763885577844,0.20779,0.346513356519704,1002,0.95,-1.44841,1.53443,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.669189320169661,0.9952065,2.47737793311521,910.9,0.95,-10.7472,12.5736,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.205608610555888,0.2100475,0.255815074886568,1002,0.95,-0.326239,0.688674,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-0.0015960307744511,-0.00198182,-0.00417032203545381,1002,0.95,-0.0911632,0.0953807,NA,NA,NA,NA,NA,NA,NA
"zsigma",672209.893213573,671419.5,669032.537309029,478.3,0.95,638957,705148,NA,NA,NA,NA,NA,NA,NA
"nu",0.799691501996008,0.7986085,0.798404964056155,473.2,0.95,0.745241,0.852103,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",-0.0973325640147854,-0.0976660722565571,-0.0975810754188325,475.1,0.95,-0.127703260077537,-0.069507905669963,NA,NA,NA,NA,NA,NA,NA
