"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,1.99725758340492,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",-58.3266205937612,-57.5703,-33.2997985328245,819.4,0.95,-631.692,473.405,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.103911105216628,0.105242,0.111751631713858,1053.2,0.95,-0.0579284,0.275602,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.150048444454109,0.150015,0.164265901655895,1048.8,0.95,-0.117186,0.438147,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.105910209434191,0.104952,0.0924405467184736,1108.8,0.95,-0.223726,0.460276,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.1475687789511,-0.145355,-0.140772543401897,1650,0.95,-0.953798,0.662718,NA,NA,NA,NA,NA,NA,NA
"beta[5]",0.103045328890982,0.0969592,0.0621208359423884,3947.5,0.95,-0.538807,0.682973,NA,NA,NA,NA,NA,NA,NA
"beta[6]",0.0220504203798974,0.0227197,0.0252777855150053,1029.2,0.95,-0.220523,0.26649,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.0214941280968166,0.0226279,0.00253026088789843,1114.3,0.95,-0.254308,0.30094,NA,NA,NA,NA,NA,NA,NA
"sigma",49.6036879424115,49.3819,49.5778800280316,4116.2,0.95,40.355,58.6111,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.4325026174765,-3.43432,-3.44671112978507,4161.6,0.95,-3.58428,-3.28676,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.780150335195485,0.79014,0.839017873722451,1053.2,0.95,-0.434919,2.06918,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.755483725005799,0.755317,0.827067685943942,1048.8,0.95,-0.590024,2.20604,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.452141421630902,0.448053,0.394634836416162,1108.8,0.95,-0.955111,1.96496,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.210818186942651,-0.207656,-0.20110645684239,1650,0.95,-1.3626,0.946766,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.0430815201211358,0.040537,0.0259711614238579,3947.5,0.95,-0.225266,0.28554,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",0.124124673416616,0.127892,0.142287472342404,1029.2,0.95,-1.24135,1.50011,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.107666491324955,0.113346,0.0126775900070042,1114.3,0.95,-1.27386,1.50744,NA,NA,NA,NA,NA,NA,NA
"zsigma",3.63049323135373,3.61426,3.62860603830955,4116.1,0.95,2.95358,4.28974,NA,NA,NA,NA,NA,NA,NA
"nu",51.4360943471306,43.5634,26.9549522587055,2911.9,0.95,6.42454,115.299,NA,NA,NA,NA,NA,NA,NA
"pred",5.521401291025,5.40333,4.66292419720168,3264.9,0.95,-32.6467,46.1732,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.62773119946313,1.63912176786093,1.63116424813869,3622.4,0.95,1.08871004156689,2.1451715352814,NA,NA,NA,NA,NA,NA,NA
